City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,40,AR,04/11/2020,56,-54.8,-68.3,42.8,5.28
1,Punta Arenas,40,CL,04/11/2020,86,-53.15,-70.92,39.2,13.87
2,Rio Gallegos,54,AR,04/11/2020,70,-51.62,-69.22,42.8,6.93
3,Bluff,5,NZ,04/11/2020,48,-46.6,168.33,70,5.01
4,Kaitangata,0,NZ,04/11/2020,85,-46.28,169.85,53.01,3
5,Comodoro Rivadavia,40,AR,04/11/2020,82,-45.87,-67.5,55.4,5.82
6,Dunedin,0,NZ,04/11/2020,85,-45.87,170.5,55.99,5.01
7,Coihaique,75,CL,04/11/2020,81,-45.58,-72.07,42.8,3.36
8,Te Anau,41,NZ,04/11/2020,65,-45.42,167.72,54.55,5.68
9,Christchurch,0,NZ,04/11/2020,77,-43.53,172.63,63,13.87
10,Rawson,65,AR,04/11/2020,60,-43.3,-65.1,61.77,16.98
11,Hobart,75,AU,04/11/2020,66,-42.88,147.33,55.4,17.22
12,New Norfolk,75,AU,04/11/2020,66,-42.78,147.06,55.4,17.22
13,Castro,75,CL,04/11/2020,100,-42.47,-73.77,42.8,4.7
14,Ancud,75,CL,04/11/2020,100,-41.87,-73.82,42.8,4.7
15,Westport,39,NZ,04/11/2020,74,-41.75,171.6,56.91,2.91
16,Waipawa,6,NZ,04/11/2020,77,-41.41,175.52,61,23.04
17,Neuquen,88,AR,04/11/2020,39,-38.95,-68.06,66.2,6.93
18,Mar Del Plata,0,AR,04/11/2020,87,-38,-57.56,53.6,3.36
19,Mount Gambier,90,AU,04/11/2020,54,-37.83,140.77,57.2,23.04
20,Lebu,49,CL,04/11/2020,84,-37.62,-73.65,55.04,11.92
21,Dargaville,21,NZ,04/11/2020,73,-35.93,173.88,60.33,1.05
22,Constitucion,100,CL,04/11/2020,90,-35.33,-72.42,54.21,6.64
23,Kaeo,19,NZ,04/11/2020,72,-35.1,173.78,66,5.01
24,Albany,92,AU,04/11/2020,61,-35.02,117.89,77,12.75
25,Port Lincoln,82,AU,04/11/2020,65,-34.73,135.87,60.21,16.06
26,Bredasdorp,100,ZA,04/11/2020,82,-34.53,20.04,60.8,2.24
27,Hermanus,99,ZA,04/11/2020,91,-34.42,19.23,61,3
28,Cape Town,20,ZA,04/11/2020,93,-33.93,18.42,62.6,9.17
29,Port Elizabeth,20,ZA,04/11/2020,93,-33.92,25.57,53.6,3.29
30,Esperance,14,AU,04/11/2020,44,-33.87,121.9,80.6,10.29
31,Chuy,0,UY,04/11/2020,85,-33.7,-53.46,60.26,3.24
32,Busselton,72,AU,04/11/2020,17,-33.65,115.33,96.01,5.59
33,Port Alfred,17,ZA,04/11/2020,82,-33.59,26.89,67.32,7.07
34,Willowmore,56,ZA,04/11/2020,39,-33.29,23.49,61.88,2.86
35,Port Pirie,59,AU,04/11/2020,56,-33.18,138.02,68,19.46
36,Gualeguay,0,AR,04/11/2020,86,-33.14,-59.31,52.61,4.43
37,Rio Cuarto,0,AR,04/11/2020,66,-33.13,-64.35,53.6,5.82
38,East London,6,ZA,04/11/2020,93,-33.02,27.91,57.2,2.24
39,Saldanha,92,ZA,04/11/2020,93,-33.01,17.94,60.8,4.7
40,Port Macquarie,95,AU,04/11/2020,38,-31.43,152.92,75.2,9.17
41,Margate,70,ZA,04/11/2020,65,-30.86,30.37,74.73,11.3
42,De Aar,9,ZA,04/11/2020,52,-30.65,24.01,62.37,17.83
43,Cidreira,6,BR,04/11/2020,82,-30.18,-50.21,62.04,5.12
44,Coquimbo,69,CL,04/11/2020,84,-29.95,-71.34,60.4,9.31
45,Richards Bay,32,ZA,04/11/2020,76,-28.78,32.04,71.62,15.12
46,Geraldton,70,AU,04/11/2020,31,-28.77,114.6,91.4,10.29
47,Byron Bay,37,AU,04/11/2020,32,-28.65,153.62,88,13.87
48,Laguna,0,BR,04/11/2020,89,-28.48,-48.78,59.59,8.88
49,Imbituba,3,BR,04/11/2020,59,-28.24,-48.67,62.6,5.82
50,Luderitz,0,NA,04/11/2020,87,-26.65,15.16,53.6,3.36
51,San Vicente,0,AR,04/11/2020,80,-26.62,-54.13,49.08,3.6
52,Roma,16,AU,04/11/2020,19,-26.58,148.78,81.5,15.9
53,Coolum Beach,53,AU,04/11/2020,69,-26.53,153.1,86,5.84
54,Diego De Almagro,6,CL,04/11/2020,63,-26.37,-70.05,51.69,0.78
55,Formosa,0,AR,04/11/2020,87,-26.18,-58.18,57.2,3.36
56,Taltal,41,CL,04/11/2020,71,-25.4,-70.48,62.96,2.13
57,Hervey Bay,94,AU,04/11/2020,62,-25.3,152.85,84.2,13.87
58,Yulara,29,AU,04/11/2020,11,-25.24,130.99,87.8,6.93
59,Beloha,29,MG,04/11/2020,65,-25.17,45.05,78.04,14.88
60,Carnarvon,57,AU,04/11/2020,74,-24.87,113.63,82.4,14.99
61,Ampanihy,1,MG,04/11/2020,57,-24.7,44.75,78.94,11.36
62,Thabazimbi,88,ZA,04/11/2020,94,-24.59,27.41,57.99,4.05
63,Peruibe,76,BR,04/11/2020,69,-24.32,-47,69.62,3.31
64,Inhambane,20,MZ,04/11/2020,88,-23.86,35.38,69.8,6.11
65,Ilhabela,61,BR,04/11/2020,69,-23.78,-45.36,68.94,2.77
